,location,make_year,brand,model,price,km_driven,fuel_type,transmission,registration_year,insurance_type,no_of_seats,ownership,power,cc,mileage
8054,jaipur,2016,Tata,Safari,725000,89000,Diesel,  Manual,2017,Comprehensive,7,Second Owner,147.94,2179.0,14.1
8055,jaipur,2012,Ford,Fiesta,300000,98000,Diesel,  Manual,2012,Comprehensive,5,First Owner,119.84,1498.0,23.5
8056,jaipur,2010,Ford,Endeavour,390000,137000,Diesel,  Manual,2010,Comprehensive,7,Second Owner,141.0,2499.0,13.1
8057,jaipur,2015,Ford,Ecosport,500000,90000,Diesel,  Manual,2016,Comprehensive,5,Second Owner,89.84,1498.0,22.7
8058,jaipur,2013,Tata,Safari,490000,90000,Diesel,  Manual,2014,Comprehensive,7,Second Owner,138.1,2179.0,14.0
8059,jaipur,2021,Datsun,RediGO,350000,54605,Petrol,  Manual,2022,Third Party,5,Second Owner,53.64,799.0,20.71
8060,jaipur,2009,Volkswagen,Jetta,350000,95105,Diesel,  Automatic,2009,Comprehensive,5,Third Owner,151.68,1896.0,15.5
8061,jaipur,2012,Skoda,Rapid,325000,90000,Diesel,  Manual,2012,Expired,5,First Owner,103.5,1598.0,20.5
8062,jaipur,2013,Tata,Safari,411000,105000,Petrol,  Manual,2013,Comprehensive,7,First Owner,167.36,2092.0,12.0
8063,jaipur,2013,Toyota,Etios,345000,81234,Diesel,  Manual,2013,Comprehensive,5,Second Owner,67.06,1364.0,23.59
8064,jaipur,2015,Honda,City,425000,80000,Diesel,  Manual,2015,Comprehensive,5,Second Owner,98.6,1498.0,26.0
8065,jaipur,2014,Volkswagen,Vento,380000,125000,Diesel,  Manual,2014,Comprehensive,5,Second Owner,103.2,1498.0,20.34
8066,jaipur,2016,Renault,Duster,521000,71000,Diesel,  Automatic,2017,Comprehensive,5,Second Owner,108.45,1461.0,19.6
8067,jaipur,2017,Honda,City,665000,59000,Petrol,  Manual,2017,Comprehensive,5,First Owner,117.3,1497.0,17.8
8068,jaipur,2014,Toyota,Etios,425000,80000,Diesel,  Manual,2014,Comprehensive,5,Second Owner,67.06,1364.0,23.59
8069,jaipur,2017,Maruti,Baleno,525000,85000,Petrol,  Manual,2017,Third Party,5,First Owner,83.1,1197.0,21.4
8070,jaipur,2015,Renault,Duster,475000,98259,Diesel,  Manual,2016,Expired,5,Second Owner,108.45,1461.0,19.72
8071,jaipur,2015,Honda,City,465000,133000,Diesel,  Manual,2015,Comprehensive,5,Second Owner,98.6,1498.0,26.0
8072,jaipur,2013,Maruti,SX4,325000,150000,Diesel,  Manual,2013,Comprehensive,5,First Owner,88.73,1248.0,21.79
8073,jaipur,2014,Maruti,Ertiga,475000,72000,Petrol,  Manual,2014,Comprehensive,7,First Owner,93.7,1373.0,16.02
8074,jaipur,2020,Honda,Amaze,545000,93420,Petrol,  Manual,2020,Comprehensive,5,First Owner,88.76,1199.0,19.5
8075,jaipur,2018,Maruti,Baleno,565000,49000,Petrol,  Manual,2018,Expired,5,First Owner,83.1,1197.0,21.4
8076,jaipur,2017,Honda,City,580000,65000,Petrol,  Manual,2017,Comprehensive,5,First Owner,117.3,1497.0,17.8
8077,jaipur,2009,Mercedes-Benz,C-Class,695000,72266,Diesel,  Automatic,2009,Third Party,5,First Owner,170.0,2143.0,14.0
8078,jaipur,2013,Toyota,Etios,440000,98115,Diesel,  Manual,2014,Comprehensive,5,First Owner,67.04,1364.0,23.59
8079,jaipur,2019,Hyundai,Venue,875000,70000,Diesel,  Manual,2019,Comprehensive,5,Second Owner,88.76,1396.0,23.7
